PS_DAC		NMR_DAC		NMR_Prb		Field[T]
30000		1608		E		0.1402
40000		2483		E		0.1861
50000		3275		E		0.2318
80000		329		F		0.3687
90000		714		F		0.4143
100000		1019		F		0.4597
110000		1289		F		0.5051
120000		1560		F		0.5504
130000		1802		F		0.5958
140000		2025		F		0.6411
150000		2232		F		0.6862
160000		2426		F		0.7313
170000		2608		F		0.7762
180000		2780		F		0.8209
190000		740		G		0.8656
200000		896		G		0.91
210000		1045		G		0.9543
220000		1184		G		0.9983
230000		1320		G		1.042
240000		1445		G		1.0853
250000		1565		G		1.1281
260000		1686		G		1.1701
270000		1800		G		1.2108
280000		1910		G		1.2496
290000		2015		G		1.2861
300000		2117		G		1.3201
310000		2215		G		1.3517
320000		2310		G		1.3811
330000		2405		G		1.4086
340000		2493		G		1.4344
350000		2580		G		1.4588
